index	FileName	fn1	fn2	fn3	fn4	fn5	fn6	fn7	fn8	sample	rowSum	Cluster	redos	type	pop	sample_year	plant	scented	rundate	GCn	renamed
	cmn2reallycm3_08302019am.qgd	cmn2reallycm3	08302019am	qgd							292173746	1		floral	cmn	19	3	1	8302019		
	cmn3reallycm4_08302019am.qgd	cmn3reallycm4	08302019am	qgd							318931199	1		floral	cmn	19	4	1	8302019		
	cmn4reallycm5_08302019am.qgd	cmn4reallycm5	08302019am	qgd							347811248	1		floral	cmn	19	5	1	8302019		
	cmn5reallycm6_08302019am.qgd	cmn5reallycm6	08302019am	qgd							299027371	1		floral	cmn	19	6	1	8302019		
	cmn6reallycm7_08302019am.qgd	cmn6reallycm7	08302019am	qgd							377541148	1		floral	cmn	19	7	1	8302019		
	cm2forreal_08312019.qgd	cm2forreal	8312019	qgd							308491685	1		floral	cmn	19	2	1	8312019		
	Blank1_8112021_01.qgd	Blank1	8112021	1	qgd						70161904	7		blank		20			8112021		
	Blank1_8122021_01.qgd	Blank1	8122021	1	qgd						92199993	7		blank		20			8122021		
	BellNFlr45Aug18_08202018.qgd	BellNFlr45Aug18	8202018	qgd							31353899	7		blank	BellN	18	45		8202018		
1983	JH_Lup_arg_CIN_23-6_8312023_01.qgd	JH	Lup	arg	CIN	23	6	8312023	1	JH_Lup_arg_CIN_23-6_8312023_01	331395669	4		floral	cmn	23	23-6	1	8312023		
1984	JH_Lup_arg_CIN_23-7_8312023_02.qgd	JH	Lup	arg	CIN	23	7	8312023	2	JH_Lup_arg_CIN_23-7_8312023_02	188345402	4		floral	cmn	23	23-7	1	8312023		
